stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0449262,,0.0300823,0.0449262,0.531416399,0.531416399,0.5435094,0.8430997,1.581554601,right,10,1,1,1.027753599,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
1,2,8,1.592414301,,1.581708699,1.592414301,2.093062101,2.093062101,2.093062101,2.3928618,2.777559901,left,-8,1,1,0.677267201,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
2,2,6,2.7928492,,2.7777228,2.7928492,3.292803001,3.292803001,3.292803001,3.5928072,4.0773407,right,6,1,1,0.7782421,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
3,2,4,4.0924112,,4.077442501,4.0924112,4.575969299,4.575969299,4.5924139,4.8759076,5.0103813,left,-4,1,1,0.4249605,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
4,2,2,5.025746699,,5.010540901,5.025746699,5.525779,5.525779,5.525779,5.825459501,6.2932829,left,-2,1,1,0.760025399,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
5,2,1,6.308633501,,6.293383799,6.308633501,6.808596101,6.808596101,6.808596101,7.1086272,7.3431124,left,-1,1,1,0.528779499,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
6,1,1,7.3584192,,7.343271,7.3584192,7.8585824,7.8585824,7.8585824,8.1581909,8.559826899,right,1,0,0,0.6975662,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
7,1,2,8.574891001,,8.559964901,8.574891001,9.074735399,9.074735399,9.074735399,9.3746731,9.9260932,left,-2,0,0,0.846957499,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
8,1,3,9.9410816,,9.926252199,9.9410816,10.4416798,10.4416798,10.4416798,10.7416545,11.1593938,right,3,1,1,0.705482399,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
9,1,3,11.1742385,,11.1594967,11.1742385,11.674746,11.674746,11.674746,11.97419,12.2759288,right,3,1,1,0.5914132,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
10,1,3,12.2909249,,12.2761364,12.2909249,12.7907673,12.7907673,12.7907673,13.0909216,13.6256162,right,3,1,1,0.821847901,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
11,0.5,2,13.641203,,13.625805,13.641203,14.1404413,14.1404413,14.1404413,14.4403018,14.9756197,right,2,0,0,0.823630299,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
12,0.5,2.5,14.9905377,,14.9758245,14.9905377,15.4898456,15.4898456,15.4898456,15.7900314,16.1747848,right,2.5,1,1,0.6719284,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
13,0.5,2.5,16.189667,,16.1749081,16.189667,16.6897144,16.6897144,16.6897144,16.9899929,17.1238651,left,-2.5,0,0,0.4217692,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
14,0.5,3,17.1394592,,17.1239765,17.1394592,17.6401763,17.6401763,17.6401763,17.9398,18.5743716,right,3,1,1,0.927466499,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
15,0.5,3,18.5898239,,18.5744721,18.5898239,19.0896184,19.0896184,19.0896184,19.3897947,19.6906283,left,-3,1,1,0.592997199,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
16,0.5,3,19.7060697,,19.6907968,19.7060697,20.2058477,20.2058477,20.2058477,20.5067194,21.0731936,right,3,1,1,0.857136201,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
17,0.5,2.5,21.0885203,,21.0732976,21.0885203,21.5884367,21.5884367,21.5884367,21.8884718,22.1731689,right,2.5,1,1,0.5811444,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
18,0.5,2.5,22.1882433,,22.1732747,22.1882433,22.6882666,22.6882666,22.6882666,22.9879039,23.2562442,right,2.5,1,1,0.5618138,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
19,0.5,2.5,23.2712018,,23.2564017,23.2712018,23.771251,23.771251,23.771251,24.0711109,24.2890996,right,2.5,1,1,0.5138024,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
20,0.5,2,24.3042446,,24.2891994,24.3042446,24.8044014,24.8044014,24.8044014,25.1045132,25.4225205,left,-2,1,1,0.6099752,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
21,0.5,2,25.4377169,,25.4226292,25.4377169,25.9375993,25.9375993,25.9375993,26.2374584,26.7218817,left,-2,1,1,0.772155801,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
22,0.5,2,26.7371792,,26.7220003,26.7371792,27.2372766,27.2372766,27.2372766,27.5369409,28.0048652,right,2,1,1,0.7606743,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
23,0.5,1.5,28.0201523,,28.0050334,28.0201523,28.5202705,28.5202705,28.5202705,28.8197806,29.2045579,right,1.5,0,0,0.6770686,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
24,0.5,2,29.21968,,29.2047216,29.21968,29.7198864,29.7198864,29.7198864,30.0194528,31.8209898,left,-2,1,1,2.0973303,353167,1,2024-09-11_12h39.05.437,adaptive staircase,2024.1.5,None,2024-09-11 12h39.12.956950 +0530
