reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.22544470010325313,,0.07085610018111765,0.22544470010325313,1.008232600055635,1.008232600055635,1.2362391001079232,11.534992600092664,t,10.502690799999982,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,0,1,1,4,11.57219220022671,,11.540231700055301,11.57219220022671,12.5541592000518,12.5541592000518,12.598290800116956,21.03518270002678,t,8.474629400065169,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,0,2,2,3,21.071438600076362,,21.037200500024483,21.071438600076362,22.050704300170764,22.050704300170764,22.094936800189316,29.798668900039047,t,7.731843300163746,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,0,3,3,2,29.833192200167105,,29.800482000224292,29.833192200167105,30.812547400128096,30.812547400128096,30.84611600008793,50.993717200122774,l,20.17403500014916,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,0,4,4,1,51.02004130021669,,50.995320700109005,51.02004130021669,52.00813930016011,52.00813930016011,52.024654200067744,59.056521699996665,l,7.035798700060695,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,0,5,5,6,59.07656320021488,,59.05755280004814,59.07656320021488,60.07521160016768,60.07521160016768,60.09153390000574,65.34210300003178,t,5.2624562999699265,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,0,6,6,0,65.3721892000176,,65.3443860001862,65.3721892000176,66.35378090012819,66.35378090012819,66.38733470020816,74.05656390008517,l,7.684543399838731,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,1,0,7,2,74.08552510011941,,74.05950050009415,74.08552510011941,75.07097080000676,75.07097080000676,75.08794320002198,84.33798700012267,t,9.249012500047684,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,1,1,8,6,84.36769920005463,,84.34026790014468,84.36769920005463,85.34877780009992,85.34877780009992,85.38212439999916,89.98398080002517,t,4.619758100016043,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,1,2,9,0,90.00846100016497,,89.98576750000939,90.00846100016497,91.00732110021636,91.00732110021636,91.02613410004415,96.31592910015024,l,5.294690999900922,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,1,3,10,1,96.34216290013865,,96.31769060017541,96.34216290013865,97.33141430001706,97.33141430001706,97.34733790019527,110.24716580007225,l,12.911791199818254,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,1,4,11,4,110.27512630005367,,110.24927620007657,110.27512630005367,111.26196680008434,111.26196680008434,111.2784959001001,115.67702210019343,t,4.4105445998720825,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
