delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.4,1000,exp,0,0,0,7,0.0367938,,0.0261298,0.0367938,1.0163128,1.0163128,1.0489662,11.0093718,space,9.8135745,None,11.0150686,11.42900877,11.7799853,11.7287809,11.7288582,11.7799853,11.7799853,11.7799853,24.7013073,300,1,[12.966206599958241],[12.966257599880919],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.4,400,unexp,0,1,1,1,24.7151146,,24.7055556,24.7151146,25.7093523,25.7093523,25.7259744,26.096131,space,0.3840636,None,26.0978785,26.51023397,26.8569455,26.8088438,26.8089254,26.8569455,26.8569455,26.8569455,33.4833079,100,1,[6.669931800104678],[6.669959699967876],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.4,1000,exp,0,2,2,10,33.5012444,,33.4883384,33.5012444,34.4911319,34.4911319,34.5079518,34.8107675,space,0.3105412,None,34.8123539,35.22431547,35.5572243,35.5284651,35.5285322,35.5572243,35.5572243,35.5572243,39.5300375,400,1,[3.9972961999010295],[3.9973178999498487],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.1,1000,exp,0,3,3,3,39.553238,,39.5315421,39.553238,40.5395764,40.5395764,40.5559006,40.9418436,space,0.3886818,None,40.9432299,41.05574587,41.3992596,41.3587477,41.3588125,41.3992596,41.3992596,41.3992596,46.0664532,200,1,[4.704432099824771],[4.7044494999572635],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.7,400,unexp,0,4,4,2,46.0873938,,46.0683392,46.0873938,47.0710016,47.0710016,47.087465,47.6247136,space,0.5411442,None,47.6264363,48.33777337,48.6833981,48.6388557,48.6389379,48.6833981,48.6833981,48.6833981,55.9539832,400,1,[7.31136679998599],[7.311380399856716],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.1,400,unexp,0,5,5,0,55.9683417,,55.9552832,55.9683417,56.9685244,56.9685244,56.9685244,58.1208907,space,1.149083,None,58.1225308,58.23507797,58.5797865,58.5381814,58.5382452,58.5797865,58.5797865,58.5797865,62.067847,"500
",1,[3.526150200050324],[3.5261672001797706],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.4,1000,exp,0,6,6,4,62.0837523,,62.0698161,62.0837523,63.0841479,63.0841479,63.0841479,63.3866815,space,0.2877748,None,63.3880379,63.79997907,64.1379563,64.0987088,64.0987735,64.1379563,64.1379563,64.1379563,69.0516712,600,1,[4.949656700016931],[4.949670099886134],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.7,1000,exp,0,7,7,5,69.0655421,,69.0531645,69.0655421,70.0655152,70.0655152,70.0655152,71.2193687,space,1.1351527,None,71.2207523,71.93310117,72.2895737,72.2288752,72.2289695,72.2895737,72.2895737,72.2895737,75.2807661,300,1,[3.046941600041464],[3.046963900094852],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.1,1000,exp,0,8,8,6,75.2974094,,75.2830753,75.2974094,76.2973876,76.2973876,76.2973876,78.1663702,space,1.8561353,None,78.1677529,78.28038007,78.6042984,78.5780172,78.5780601,78.6042984,78.6042984,78.6042984,82.8585226,200,1,[4.2756711998954415],[4.275705700041726],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.7,1000,exp,0,9,9,8,82.8711435,,82.8606354,82.8711435,83.8626799,83.8626799,83.8791545,84.6651849,space,0.7907093,None,84.6667046,85.37876827,85.7395839,85.6783386,85.6784143,85.7395839,85.7395839,85.7395839,89.2276931,600,1,[3.5447678999044],[3.5448213999625295],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.7,1000,exp,0,10,10,11,89.2460914,,89.2318313,89.2460914,90.2445385,90.2445385,90.2611225,91.1639885,space,0.9134634,None,91.1655221,91.87730057,92.2257399,92.178499,92.1785937,92.2257399,92.2257399,92.2257399,94.9247255,300,1,[2.742355100112036],[2.742374600144103],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.1,1000,exp,0,11,11,9,94.9428908,,94.9268729,94.9428908,95.925591,95.925591,95.9426664,96.3450959,space,0.4109905,None,96.346451,96.45916787,96.7809028,96.7582807,96.7583219,96.7809028,96.7809028,96.7809028,100.4062057,400,1,[3.6450800001621246],[3.64509560004808],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.4,1000,exp,1,0,12,4,100.4248566,,100.4082203,100.4248566,101.4082662,101.4082662,101.4245834,101.7437374,space,0.3204087,None,101.7450939,102.1577325,102.4967518,102.458086,102.4581516,102.4967518,102.4967518,102.4967518,106.3884417,500,1,[3.927017099922523],[3.927035399945453],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.1,1000,exp,1,1,13,9,106.4063819,,106.3905137,106.4063819,107.3893908,107.3893908,107.4063647,107.7746817,space,0.3708699,None,107.7756906,107.889494,108.225922,108.1880437,108.1880847,108.225922,108.225922,108.225922,111.8692338,200,1,[3.678330200025812],[3.678342300001532],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.1,400,unexp,1,2,14,0,111.888419,,111.8705692,111.888419,112.8718729,112.8718729,112.8889634,113.174831,space,0.297352,None,113.1761874,113.2890212,113.6254629,113.5883437,113.5884386,113.6254629,113.6254629,113.6254629,115.813497,300,1,[2.221439099870622],[2.221459199907258],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
0.4,1000,exp,1,3,15,10,115.8301366,,115.8197545,115.8301366,116.8216803,116.8216803,116.8381947,117.7087222,space,0.8840641,None,117.7105322,118.1214382,118.4633891,118.4183893,118.4184722,118.4633891,118.4633891,118.4633891,121.6432668,300,1,[3.2205121000297368],[3.2205337998457253],868958,1,2024-11-14_20h56.52.259,intentional binding exp,2024.1.5,None,2024-11-14 20h57.07.555199 +0530
