key_resp.keys,key_resp.corr,tilt,,Hit,Miss,FA,Corr Rej,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,Response yes,Response No,,
up,1,0,,1,,,,,,,,Signal Present,Hit,Miss,,prop hit = hit/hit+miss
up,1,0,,1,,,,,,,,Signal Absent,False Alarm ,Correct Rejection,,prop fa = fa/fa+corr rejection
down,1,1,,,,,1,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-5,,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,
