trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03067059998284094,,0.014512599998852238,0.03067059998284094,1.013456499989843,1.0259202999877743,1.7270324999990407,up,1,0.6945938999997452,None,0,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
1,0,1,0,1.7437848999979906,,1.7300015999935567,1.7437848999979906,2.7402978999889456,2.75681879997137,3.0491182999976445,up,1,0.2896334000106435,None,0,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
2,0,2,0,3.0711836999980733,,3.05549559998326,3.0711836999980733,4.056574799993541,4.074042999971425,4.627949299989268,up,0,0.56007390000741,None,-2,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
3,0,3,0,4.65146999998251,,4.6354887999768835,4.65146999998251,5.63846069999272,5.655300899990834,5.958722999988822,up,1,0.3167241000046488,None,0,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
4,0,4,0,5.9761885999760125,,5.962184299976798,5.9761885999760125,6.971915799978888,6.988377599976957,7.312063399993349,up,0,0.3250856999948155,None,1,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
5,0,5,0,7.337501999980304,,7.319144799985224,7.337501999980304,8.321760399994673,8.33823619998293,8.687840799975675,up,0,0.3386641000106465,None,-2,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
6,0,6,0,8.71239119998063,,8.693376999988686,8.71239119998063,9.707672099990305,9.724278599984245,10.070449899998493,up,0,0.3341055999917444,None,-5,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
7,0,7,0,10.091356899996754,,10.07489569997415,10.091356899996754,11.088850399974035,11.105037299974356,11.41316509997705,up,1,0.30843730000196956,None,0,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
8,0,8,0,11.439851699979044,,11.421250099985627,11.439851699979044,12.421816299989587,12.454622699995525,12.81071369998972,up,1,0.3792470000043977,None,0,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
9,0,9,0,12.83997719999752,,12.820900799997617,12.83997719999752,13.820423299999675,13.853570499981288,14.208394299988868,up,0,0.3764606000040658,None,2,952281,001,2024-09-13_11h41.42.990,signal detection task,2024.1.5,None,2024-09-13 11h41.54.493324 +0530,
