problems,answers,test_problems,test_answers,opacity,intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_4.started,instructions.stopped,trial.started,problem.started,textbox.started,button_2.started,trial.stopped,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,round_2.started,instruction_2.started,instruction_2.stopped,round_2.stopped,distraction.started,text_3.started,textbox_3.started,button.started,notif_polygon.started,notif_sound.started,notif_polygon.stopped,notif_sound.stopped,distraction.stopped,textbox_3.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0089485,0.0318423,3.0154259,,,,,,,,,,,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
5+7-4,8,,,,,0,0,0,0,,,,,3.114662,,,,,3.0467603,3.114662,3.114662,3.114662,16.5723661,8,1,[13.506204799981788],[13.506216499954462],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
4+9-1,12,,,,,0,1,1,7,,,,,16.6030892,,,,,16.5742601,16.6030892,16.6030892,16.6030892,24.9561754,12,1,[8.374104900052771],[8.374119900166988],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
7-4+2,5,,,,,0,2,2,9,,,,,24.9919932,,,,,24.9573027,24.9919932,24.9919932,24.9919932,33.7904838,"5
",1,[8.826248799916357],[8.826266899937764],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
1+3-9,-5,,,,,0,3,3,2,,,,,33.8202395,,,,,33.7915073,33.8202395,33.8202395,33.8202395,53.1126659,-3,1,[19.314849300077185],[19.314872599905357],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
4+8-2,10,,,,,0,4,4,3,,,,,53.1639339,,,,,53.1158851,53.1639339,53.1639339,53.1639339,57.9415923,10,1,[4.809396399883553],[4.809421899961308],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
6-3+2,5,,,,,0,5,5,4,,,,,57.9898886,,,,,57.9437912,57.9898886,57.9898886,57.9898886,62.4008424,5,1,[4.444801199948415],[4.444811300141737],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
2+3+6,11,,,,,0,6,6,8,,,,,62.4295045,,,,,62.4017114,62.4295045,62.4295045,62.4295045,66.0059583,11,1,[3.5981648000888526],[3.598188899923116],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
8+1-3,6,,,,,0,7,7,5,,,,,66.0611823,,,,,66.0081247,66.0611823,66.0611823,66.0611823,71.5385967,6,1,[5.51746020000428],[5.517471299972385],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
10-6+2,6,,,,,0,8,8,1,,,,,71.5711591,,,,,71.5394215,71.5711591,71.5711591,71.5711591,78.8807796,6,1,[7.330769999884069],[7.330783299868926],,,,,,,,,,,,,,,,,,393448,1,2024-11-22_15h30.33.848,distraction and problem solving,2024.1.5,None,2024-11-22 15h30.58.797924 +0530
