problems,answers,test_problems,test_answers,opacity,intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_4.started,instructions.stopped,trial.started,problem.started,textbox.started,button_2.started,trial.stopped,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,round_2.started,instruction_2.started,round_2.stopped,distraction.started,text_3.started,textbox_3.started,button.started,notif_polygon.started,notif_sound.started,notif_polygon.stopped,notif_sound.stopped,distraction.stopped,textbox_3.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.011737300083041191,0.04140789993107319,3.0104820001870394,,,,,,,,,,,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
4+8-2,10,,,,,0,0,0,3,,,,,3.09129359992221,,,,,3.038680899888277,3.09129359992221,3.09129359992221,3.09129359992221,7.582052600104362,10,1,[4.529397199861705],[4.529408299829811],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
10-6+2,6,,,,,0,1,1,1,,,,,7.6224166001193225,,,,,7.58747769985348,7.6224166001193225,7.6224166001193225,7.6224166001193225,11.098830699920654,6,1,[3.5004708003252745],[3.5004956000484526],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
7-4+2,5,,,,,0,2,2,9,,,,,11.16031560022384,,,,,11.101298999972641,11.16031560022384,11.16031560022384,11.16031560022384,15.038483900018036,5,1,[3.919934400357306],[3.919949000235647],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
5+7-4,8,,,,,0,3,3,0,,,,,15.07755669998005,,,,,15.039678200148046,15.07755669998005,15.07755669998005,15.07755669998005,20.06863689981401,8,1,[5.017911500297487],[5.017941900063306],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
6-3+2,5,,,,,0,4,4,4,,,,,20.12278479989618,,,,,20.070209899917245,20.12278479989618,20.12278479989618,20.12278479989618,23.525219399947673,5,1,[3.4406759003177285],[3.4406925002112985],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
8+1-3,6,,,,,0,5,5,5,,,,,23.567303800024092,,,,,23.526566800195724,23.567303800024092,23.567303800024092,23.567303800024092,27.50053449999541,6,1,[3.961501599755138],[3.9615950998850167],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
2+3+6,11,,,,,0,6,6,8,,,,,27.54469389980659,,,,,27.501933100167662,27.54469389980659,27.54469389980659,27.54469389980659,32.33181389980018,11,1,[4.820832499768585],[4.820855699945241],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
5-7+1,-1,,,,,0,7,7,6,,,,,32.39142049988732,,,,,32.33362430008128,32.39142049988732,32.39142049988732,32.39142049988732,39.32681400002912,-1,1,[6.981257700361311],[6.9812729000113904],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
1+3-9,-5,,,,,0,8,8,2,,,,,39.37174869980663,,,,,39.32967570004985,39.37174869980663,39.37174869980663,39.37174869980663,43.61538049997762,-5,1,[4.274300799705088],[4.274312499910593],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
4+9-1,12,,,,,0,9,9,7,,,,,43.65281549980864,,,,,43.61635180003941,43.65281549980864,43.65281549980864,43.65281549980864,46.90694630006328,12,1,[3.283836599905044],[3.2838531001470983],,,,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.90775590017438,46.93007230013609,47.916001699864864,,,,,,,,,,,,,,484109,001,2024-11-24_18h54.53.298,distraction and problem solving,2024.1.5,None,2024-11-24 18h55.16.359005 +0530,
