problems,answers,test_problems,test_answers,opacity,intensity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_4.started,instructions.stopped,trial.started,problem.started,textbox.started,button_2.started,trial.stopped,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,round_2.started,instruction_2.started,round_2.stopped,distraction.started,text_3.started,textbox_3.started,button.started,notif_polygon.started,notif_sound.started,notif_sound.stopped,notif_polygon.stopped,distraction.stopped,textbox_3.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.009371799882501364,0.0270389998331666,3.009271599818021,,,,,,,,,,,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
8+1-3,6,,,,,0,0,0,5,,,,,3.090360099915415,,,,,3.03807509993203,3.090360099915415,3.090360099915415,3.090360099915415,14.281935899984092,6,1,[11.231731100007892],[11.231747699901462],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
2+3+6,11,,,,,0,1,1,8,,,,,14.320445199962705,,,,,14.287041299976408,14.320445199962705,14.320445199962705,14.320445199962705,20.66063559986651,11,1,[6.365866099949926],[6.365882999962196],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
7-4+2,5,,,,,0,2,2,9,,,,,20.704214699799195,,,,,20.661838199943304,20.704214699799195,20.704214699799195,20.704214699799195,29.410173199838027,5,1,[8.732752099866048],[8.73277789982967],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
4+8-2,10,,,,,0,3,3,3,,,,,29.46295559988357,,,,,29.411920399870723,29.46295559988357,29.46295559988357,29.46295559988357,34.32957519986667,10,1,[4.904048300115392],[4.904078999999911],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
4+9-1,12,,,,,0,4,4,7,,,,,34.37199559994042,,,,,34.331735299900174,34.37199559994042,34.37199559994042,34.37199559994042,43.00115969986655,12,1,[8.6589558001142],[8.658972900127992],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
6-3+2,5,,,,,0,5,5,4,,,,,43.03977969987318,,,,,43.00238499999978,43.03977969987318,43.03977969987318,43.03977969987318,55.76291039981879,5,1,[12.752704899990931],[12.752719399984926],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
10-6+2,6,,,,,0,6,6,1,,,,,55.80131749995053,,,,,55.764074799837545,55.80131749995053,55.80131749995053,55.80131749995053,76.50967539986596,6,1,[20.73553130007349],[20.735552300000563],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
1+3-9,-5,,,,,0,7,7,2,,,,,76.55444650002755,,,,,76.51113999984227,76.55444650002755,76.55444650002755,76.55444650002755,85.65819419990294,-5,1,[9.135519299888983],[9.13554389984347],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
5-7+1,-1,,,,,0,8,8,6,,,,,85.71537719992921,,,,,85.65998919983394,85.71537719992921,85.71537719992921,85.71537719992921,106.45587079995312,-1,1,[20.781680299900472],[20.78169919992797],,,,,,,,,,,,,,,,,565696,001,2024-11-22_17h13.43.143,distraction and problem solving,2024.1.5,None,2024-11-22 17h14.00.117964 +0530,
