trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.13713320018723607,,0.02968379994854331,10,0.13713320018723607,0.13713320018723607,0.09157799975946546,9.356452899985015,[0.29],[0.47875],[1],[0],[0],[9.26314300019294],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
1,0,1,0,9.467743800021708,,9.370990400202572,10,9.467743800021708,9.467743800021708,0.06652719993144274,10.771976999938488,[-0.01625],[-0.23],[1],[0],[0],[1.335463299881667],[],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
2,0,2,0,10.884353199973702,,10.785773700103164,5,10.884353199973702,10.884353199973702,0.0604908000677824,13.57123599993065,[0.4475],[0.27],[1],[0],[0],[2.7266299999319017],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
3,0,3,0,13.700030100066215,,13.586163700092584,10,13.700030100066215,13.700030100066215,0.08845120016485453,15.288905799854547,[0.46875],[0.07125],[1],[0],[0],[1.6168357003480196],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
4,0,4,0,15.432983200065792,,15.314912099856883,10,15.432983200065792,15.432983200065792,0.08737159986048937,21.536350899841636,[0.41],[-0.2425],[1],[0],[0],[6.139091900084168],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
5,0,5,0,21.681481400039047,,21.552593300119042,10,21.681481400039047,21.681481400039047,0.09554680017754436,24.655540800187737,[0.195],[-0.26625],[1],[0],[0],[3.010156699921936],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
6,0,6,0,24.74754159990698,,24.670936999842525,5,24.74754159990698,24.74754159990698,0.05036790017038584,28.232059500180185,[-0.3],[-0.44875],[1],[0],[0],[3.513285900000483],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
7,0,7,0,28.379502899944782,,28.248414900153875,10,28.379502899944782,28.379502899944782,0.08980940002948046,30.616108300164342,[-0.01375],[0.3775],[1],[0],[0],[2.280252499971539],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
8,0,8,0,30.729151399806142,,30.626250700093806,10,30.729151399806142,30.729151399806142,0.06563720013946295,34.74865549989045,[-0.33625],[-0.44125],[1],[0],[0],[4.05788219999522],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
9,0,9,0,34.92900160001591,,34.763935800176114,10,34.92900160001591,34.92900160001591,0.12375319981947541,37.1141380998306,[0.0975],[-0.23375],[1],[0],[0],[2.228667000308633],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
10,0,10,0,37.19408140005544,,37.12535570003092,5,37.19408140005544,37.19408140005544,0.03993579978123307,40.26754639996216,[-0.16625],[-0.2825],[1],[0],[0],[3.103958399966359],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
11,0,11,0,40.4266431001015,,40.29049549996853,10,40.4266431001015,40.4266431001015,0.10974769992753863,43.66118919989094,[0.285],[0.02],[1],[0],[0],[3.2661802996881306],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
12,0,12,0,43.75984730012715,,43.66780580021441,10,43.75984730012715,43.75984730012715,0.05827380018308759,47.91133120004088,[-0.08625],[-0.24],[1],[0],[0],[4.186376200057566],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
13,0,13,0,47.99233070015907,,47.9189003999345,5,47.99233070015907,47.99233070015907,0.04374640015885234,52.47573760012165,[-0.345],[-0.04125],[1],[0],[0],[4.514180600177497],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
14,0,14,0,52.541056599933654,,52.48316380009055,5,52.541056599933654,52.541056599933654,0.0354547998867929,54.709877599962056,[0.425],[0.1775],[1],[0],[0],[2.1923812003806233],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
15,0,15,0,54.80726880021393,,54.72514310013503,5,54.80726880021393,54.80726880021393,0.05246260017156601,58.20842179981992,[-0.13125],[-0.19],[1],[0],[0],[3.4337861998938024],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
16,0,16,0,58.28924660012126,,58.22148730000481,5,58.28924660012126,58.28924660012126,0.0430723000317812,59.840629199985415,[0.1875],[0.01625],[1],[0],[0],[1.5788401002064347],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
17,0,17,0,59.972325399983674,,59.854353399947286,10,59.972325399983674,59.972325399983674,0.07898769993335009,62.62383269984275,[0.14],[0.05625],[1],[0],[0],[2.6937278998084366],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
18,0,18,0,62.68839639984071,,62.63197539979592,5,62.68839639984071,62.68839639984071,0.033708800096064806,65.98907169979066,[-0.02875],[0.1175],[1],[0],[0],[3.325174799654633],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
19,0,19,0,66.12092849984765,,65.99704190017655,10,66.12092849984765,66.12092849984765,0.08001769986003637,68.97215110016987,[0.0675],[0.175],[1],[0],[0],[2.8962369998916984],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
20,0,20,0,69.08662430010736,,68.9827526002191,10,69.08662430010736,69.08662430010736,0.07468360010534525,72.00530759990215,[-0.09125],[0.37375],[1],[0],[0],[2.948738900013268],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
21,0,21,0,72.11986180022359,,72.01311760023236,10,72.11986180022359,72.11986180022359,0.07268709968775511,74.30517170019448,[0.17125],[0.23125],[1],[0],[0],[2.2204681001603603],[],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
22,0,22,0,74.36866920022294,,74.31311299977824,5,74.36866920022294,74.36866920022294,0.036861199885606766,77.16917630005628,[0.4075],[0.1],[1],[0],[0],[2.820332400035113],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
23,0,23,0,77.23460800014436,,77.1745434999466,5,77.23460800014436,77.23460800014436,0.03779740026220679,79.31991530023515,[0.31375],[0.0],[1],[0],[0],[2.1081321998499334],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
24,0,24,0,79.45088810008019,,79.3269060999155,10,79.45088810008019,79.45088810008019,0.0752204000018537,82.8683997001499,[0.30125],[-0.46],[1],[0],[0],[3.467033099848777],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
25,0,25,0,82.98351019993424,,82.87735049985349,10,82.98351019993424,82.98351019993424,0.07352849980816245,85.40089779999107,[0.02125],[-0.0475],[1],[0],[0],[2.4521392001770437],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
26,0,26,0,85.48389100003988,,85.40682339994237,5,85.48389100003988,85.48389100003988,0.04500810010358691,88.51980530004948,[0.17625],[0.02],[1],[0],[0],[3.0682299002073705],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
27,0,27,0,88.66523220017552,,88.53491669986397,10,88.66523220017552,88.66523220017552,0.09711299976333976,91.81832619989291,[-0.405],[0.215],[1],[0],[0],[3.1884861001744866],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
28,0,28,0,91.8983322000131,,91.82673450000584,5,91.8983322000131,91.8983322000131,0.039976300206035376,95.45145870000124,[0.38],[-0.3875],[1],[0],[0],[3.5855990001000464],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
29,0,29,0,95.53085849992931,,95.46313050016761,5,95.53085849992931,95.53085849992931,0.047586200293153524,97.75071350019425,[0.13125],[-0.39375],[1],[0],[0],[2.2425107997842133],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
30,0,30,0,97.84778050007299,,97.76505960011855,5,97.84778050007299,97.84778050007299,0.05421230010688305,101.33213200001046,[-0.24375],[-0.03625],[1],[0],[0],[3.514647000003606],['target'],536989,001,2024-10-10_09h18.10.233,untitled,2024.1.5,None,2024-10-10 09h18.16.837520 +0530,
