trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.14287930028513074,,0.05346530023962259,10,0.14287930028513074,0.14287930028513074,0.11740100011229515,16.76635210029781,[0.295],[0.25625],[1],[0],[0],[16.64773439988494],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
1,0,1,0,16.889256600290537,,16.788049099966884,10,16.889256600290537,16.889256600290537,0.06845800019800663,20.074377099983394,[-0.375],[-0.1025],[1],[0],[0],[3.220543500036001],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
2,0,2,0,20.13851060019806,,20.084362199995667,5,20.13851060019806,20.13851060019806,0.0331991002894938,23.057319900020957,[-0.47],[-0.33625],[1],[0],[0],[2.9412936996668577],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
3,0,3,0,23.171613300219178,,23.073099200148135,5,23.171613300219178,23.171613300219178,0.06979510001838207,32.70562760019675,[0.28375],[-0.19125],[1],[0],[0],[9.565067800227553],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
4,0,4,0,32.85216040024534,,32.71984150027856,10,32.85216040024534,32.85216040024534,0.11091160029172897,33.15337880002335,[0.28375],[-0.19125],[1],[0],[0],[0.3266594996675849],[],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
5,0,5,0,33.21900860033929,,33.161103000398725,5,33.21900860033929,33.21900860033929,0.028615199960768223,43.554523600265384,[0.26625],[-0.405],[1],[0],[0],[10.365274200215936],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
6,0,6,0,43.6662118001841,,43.56925060041249,10,43.6662118001841,43.6662118001841,0.07489660009741783,47.96714710025117,[0.47],[-0.25875],[1],[0],[0],[4.325253199785948],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
7,0,7,0,48.04903670027852,,47.97511470038444,5,48.04903670027852,48.04903670027852,0.038999099750071764,55.77174250036478,[0.35125],[0.2075],[1],[0],[0],[7.75794170005247],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
8,0,8,0,55.879939400125295,,55.786979800090194,10,55.879939400125295,55.879939400125295,0.07084080018103123,62.26386420009658,[-0.255],[-0.2525],[1],[0],[0],[6.408397600054741],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
9,0,9,0,62.34592410037294,,62.2721828003414,5,62.34592410037294,62.34592410037294,0.04127399995923042,70.29717760020867,[0.14625],[0.20875],[1],[0],[0],[7.984423900023103],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
10,0,10,0,70.44312930013984,,70.31087160017341,10,70.44312930013984,70.44312930013984,0.10213120002299547,87.34532790025696,[0.30625],[-0.29625],[1],[0],[0],[16.93562800018117],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
11,0,11,0,87.43890180019662,,87.36620220029727,5,87.43890180019662,87.43890180019662,0.0520987999625504,93.07502160035074,[0.345],[0.47625],[1],[0],[0],[5.659491000231355],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
12,0,12,0,93.20451840013266,,93.08879040041938,10,93.20451840013266,93.20451840013266,0.0811586999334395,101.10392420040444,[-0.275],[0.39875],[1],[0],[0],[7.936869500204921],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
13,0,13,0,101.20258729998022,,101.1116875000298,10,101.20258729998022,101.20258729998022,0.05525209987536073,107.95413140021265,[0.03875],[-0.14],[1],[0],[0],[6.788158599752933],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
14,0,14,0,108.06811210000888,,107.96218470018357,10,108.06811210000888,108.06811210000888,0.06672200001776218,112.17005510022864,[0.05875],[-0.18],[1],[0],[0],[4.141826099716127],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
15,0,15,0,112.2997635002248,,112.18195230001584,10,112.2997635002248,112.2997635002248,0.07934049982577562,120.93242250010371,[0.38875],[0.41],[1],[0],[0],[8.673962600063533],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
16,0,16,0,120.98090340010822,,120.93774300022051,5,120.98090340010822,120.98090340010822,0.02761760028079152,124.25054040038958,[0.19875],[0.3575],[1],[0],[0],[3.2853254000656307],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
17,0,17,0,124.34688020031899,,124.26526350015774,5,124.34688020031899,124.34688020031899,0.05035419994965196,132.21520510036498,[0.475],[-0.22],[1],[0],[0],[7.902971999719739],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
18,0,18,0,132.32836250029504,,132.23188420012593,5,132.32836250029504,132.32836250029504,0.06843339977785945,138.648561200127,[0.31625],[-0.475],[1],[0],[0],[6.352149900048971],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
19,0,19,0,138.76022810023278,,138.66431550029665,5,138.76022810023278,138.76022810023278,0.06534500000998378,146.46272440021858,[0.48375],[-0.3675],[1],[0],[0],[7.735408999957144],['target'],345078,001,2024-10-10_09h31.03.023,untitled,2024.1.5,None,2024-10-10 09h31.09.868849 +0530,
