trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.10813229996711016,,0.012485799845308065,10,0.10813229996711016,0.10813229996711016,0.07550210040062666,3.6290521998889744,[0.455],[0.3475],[1],[0],[0],[3.551726800389588],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
1,0,1,0,3.725616099778563,,3.647396800108254,5,3.725616099778563,3.725616099778563,0.04759449977427721,5.927575800102204,[-0.38],[0.3225],[1],[0],[0],[2.234649300109595],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
2,0,2,0,6.073640000075102,,5.941875400021672,10,6.073640000075102,6.073640000075102,0.11079040030017495,8.958475099876523,[0.48125],[0.43],[1],[0],[0],[2.90955079998821],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
3,0,3,0,9.022748399991542,,8.966688099782914,5,9.022748399991542,9.022748399991542,0.04190269997343421,11.3279003999196,[0.2525],[-0.00125],[1],[0],[0],[2.3199028000235558],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
4,0,4,0,11.45544430008158,,11.340205600019544,10,11.45544430008158,11.45544430008158,0.07976729981601238,14.408089499920607,[-0.1],[-0.4275],[1],[0],[0],[2.990633999928832],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
5,0,5,0,14.521946299821138,,14.418798099737614,10,14.521946299821138,14.521946299821138,0.0692400997504592,17.527764699887484,[0.01125],[0.10875],[1],[0],[0],[3.0408116998150945],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
6,0,6,0,17.620551699772477,,17.548202599864453,5,17.620551699772477,17.620551699772477,0.04603299964219332,19.45790300006047,[0.3375],[0.33125],[1],[0],[0],[1.8665251000784338],[],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
7,0,7,0,19.603592399973422,,19.47103409981355,10,19.603592399973422,19.603592399973422,0.09841899992898107,21.492848800029606,[-0.17125],[0.355],[1],[0],[0],[1.9255257002077997],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
8,0,8,0,21.602952899876982,,21.513210100121796,5,21.602952899876982,21.602952899876982,0.07476950017735362,25.839383099693805,[0.31],[0.235],[1],[0],[0],[4.25423360010609],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
9,0,9,0,25.935888499952853,,25.85436199977994,5,25.935888499952853,25.935888499952853,0.05925250006839633,28.42280860012397,[-0.375],[-0.17375],[1],[0],[0],[2.5122834998182952],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
