study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Poster,,,,0,0,0,14,,,,,0.12059369997587055,,0.07395930000348017,0.12059369997587055,0.12059369997587055,4.996591799950693,1,4.879368499969132,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
Cruise,,,,0,1,1,11,,,,,5.04171049996512,,4.999471099989023,5.04171049996512,5.04171049996512,5.984475899953395,1,0.9439413999789394,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
Police,,,,0,2,2,12,,,,,6.023625499976333,,5.984961899986956,6.023625499976333,6.023625499976333,6.859503199986648,1,0.8319618999958038,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
board,,,,0,3,3,4,,,,,6.900890799995977,,6.859988499956671,6.900890799995977,6.900890799995977,7.685563099978026,1,0.7856695000082254,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
Case,,,,0,4,4,10,,,,,7.725013499963097,,7.686042599962093,7.725013499963097,7.725013499963097,8.415811999992002,1,0.6915308000170626,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
phone,,,,0,5,5,2,,,,,8.458100699994247,,8.416421199974138,8.458100699994247,8.458100699994247,9.184792099986225,1,0.7270935000269674,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
cushion,,,,0,6,6,1,,,,,9.225915999966674,,9.185292099951766,9.225915999966674,9.225915999966674,10.038776699977461,1,0.8093891000025906,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
Keys,,,,0,7,7,13,,,,,10.079992399958428,,10.039492599957157,10.079992399958428,10.079992399958428,10.760502299992368,1,0.6791095000226051,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
Pastry,,,,0,8,8,9,,,,,10.801247900002636,,10.761004899977706,10.801247900002636,10.801247900002636,11.567883699957747,1,0.7675690000178292,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
T-shirt,,,,0,9,9,7,,,,,11.611258699966129,,11.568379599950276,11.611258699966129,11.611258699966129,12.314003999985289,1,0.7029232999775559,,,,,,,,,,,,,,,361463,001,2024-11-05_13h14.54.872,word priming exp,2024.1.5,None,2024-11-05 13h15.16.438620 +0530,
